Brand,WaterProof,Gender,TimeDisplay,Chronograph,Rating,Price
Casio,50.0,0,1,0,0,174.0
Seiko,200.0,1,2,0,0,1589.0
Casio,200.0,1,2,0,0,390.0
Michael Kors,50.0,0,1,0,0,292.0
Hugo Boss,50.0,1,1,1,0,396.0
Michael Kors,100.0,1,1,1,0,297.0
Michael Kors,30.0,0,1,0,0,299.0
Michael Kors,50.0,1,1,0,0,299.0
Tommy Hilfiger,50.0,1,1,1,0,323.0
Tommy Hilfiger,50.0,1,1,1,0,327.0
Casio,200.0,2,0,1,0,230.0
Casio,200.0,1,2,1,0,539.0
Hugo Boss,30.0,1,1,1,0,339.0
Calvin Klein,30.0,0,1,0,0,339.0
Emporio Armani,50.0,1,1,1,2,345.0
Tommy Hilfiger,50.0,0,1,1,0,345.0
Hugo Boss,50.0,1,1,0,0,347.0
Calvin Klein,0.0,1,1,0,0,349.0
Hugo Boss,30.0,1,1,1,0,349.0
Daniel Wellington,30.0,0,1,0,0,254.0
Tommy Hilfiger,30.0,0,1,0,0,355.0
Hugo Boss,50.0,1,1,1,0,364.0
Michael Kors,100.0,0,1,1,0,269.0
Casio,200.0,1,0,1,0,474.0
Michael Kors,100.0,0,1,0,0,275.0
Daniel Wellington,30.0,1,1,0,0,279.0
Michael Kors,100.0,1,1,1,0,280.0
Casio,200.0,1,2,0,0,385.0
Michael Kors,0.0,0,1,0,0,296.0
Michael Kors,50.0,0,1,1,0,297.0
Michael Kors,100.0,0,1,1,0,297.0
Michael Kors,100.0,0,1,0,1,297.0
Michael Kors,100.0,0,1,0,0,298.0
Tissot,100.0,0,1,0,0,1299.0
Michael Kors,0.0,0,1,0,0,299.0
Michael Kors,30.0,0,1,0,0,305.0
Cluse,30.0,0,1,0,0,310.0
Tommy Hilfiger,50.0,1,1,0,0,310.0
Casio,200.0,1,2,0,0,415.0
Tommy Hilfiger,50.0,1,1,1,0,319.0
Tommy Hilfiger,50.0,1,1,1,0,324.0
Calvin Klein,30.0,1,1,0,0,325.0
Tommy Hilfiger,30.0,0,1,0,0,329.0
Tommy Hilfiger,50.0,1,1,0,0,329.0
Tommy Hilfiger,50.0,1,1,1,0,334.0
Tommy Hilfiger,30.0,0,1,1,0,334.0
Tommy Hilfiger,0.0,1,1,1,0,335.0
Tommy Hilfiger,50.0,1,1,1,0,335.0
Emporio Armani,30.0,1,1,0,0,335.0
Tommy Hilfiger,30.0,1,1,0,0,335.0
Emporio Armani,30.0,1,1,0,0,338.0
Emporio Armani,30.0,0,1,0,0,339.0
Michael Kors,50.0,0,1,0,0,343.0
Tommy Hilfiger,50.0,0,1,0,0,345.0
Hugo Boss,30.0,1,1,1,0,345.0
Michael Kors,50.0,0,1,0,0,345.0
Casio,200.0,1,2,0,0,449.0
Calvin Klein,0.0,0,1,0,0,349.0
Michael Kors,50.0,0,1,0,0,349.0
Hugo Boss,100.0,1,1,1,0,349.0
Emporio Armani,30.0,1,1,0,0,350.0
Calvin Klein,30.0,0,1,0,0,350.0
Emporio Armani,50.0,0,1,0,0,350.0
Emporio Armani,50.0,1,1,1,0,354.0
Emporio Armani,30.0,0,1,0,0,358.0
Emporio Armani,30.0,1,1,0,0,359.0
Emporio Armani,50.0,1,1,0,0,359.0
Cluse,30.0,0,1,0,0,360.0
Emporio Armani,50.0,1,1,1,0,369.0
Tommy Hilfiger,30.0,0,1,0,0,369.0
Emporio Armani,30.0,1,1,1,0,374.0
Cluse,50.0,1,1,1,0,475.0
Cluse,30.0,0,1,0,0,375.0
Bering,50.0,1,1,0,0,678.0
Emporio Armani,50.0,1,1,0,0,379.0
Hugo Boss,50.0,1,1,0,0,379.0
Hugo Boss,30.0,1,1,1,1,379.0
Tommy Hilfiger,30.0,0,1,1,0,385.0
Tommy Hilfiger,50.0,1,1,1,0,389.0
Bering,30.0,0,1,0,0,395.0
Rado,30.0,0,1,0,0,2199.0
Emporio Armani,30.0,1,1,0,0,399.0
Calvin Klein,30.0,0,1,0,0,399.0
Citizen,50.0,1,1,0,0,409.0
Cluse,30.0,0,1,0,0,420.0
Bering,50.0,0,1,0,0,535.0
Cluse,30.0,0,1,0,0,440.0
Bering,50.0,0,1,0,0,444.0
Casio,200.0,1,2,0,0,447.0
GANT,50.0,1,1,0,0,578.0
Tissot,100.0,1,1,1,1,1694.0
Tissot,0.0,0,1,0,0,1522.0
Bering,30.0,0,1,0,0,529.0
Guess,30.0,0,1,0,0,349.0
Bering,30.0,0,1,0,0,574.0
Seiko,100.0,1,1,1,0,674.0
Certina,100.0,1,1,1,0,1680.0
Rado,50.0,1,1,0,0,4990.0
Bering,30.0,0,1,0,0,599.0
Bering,30.0,0,1,0,0,625.0
Casio,0.0,0,0,0,0,128.0
GANT,50.0,1,1,0,0,830.0
GANT,50.0,1,1,0,0,730.0
GANT,30.0,0,1,0,1,678.0
Tissot,100.0,1,1,1,0,1680.0
Tissot,30.0,1,1,0,0,1689.0
Certina,100.0,1,1,0,0,1689.0
Certina,300.0,1,1,1,0,2219.0
Tommy Hilfiger,30.0,1,1,0,0,330.0
Hugo Boss,50.0,1,1,1,0,434.0
Casio,50.0,1,0,0,0,140.0
GANT,50.0,1,1,0,0,745.0
Emporio Armani,50.0,1,1,1,1,355.0
GANT,100.0,1,1,0,0,770.0
GANT,50.0,0,1,0,0,779.0
Casio,30.0,1,0,1,0,128.0
Certina,100.0,1,1,0,0,2039.0
Burberry,50.0,1,1,1,0,539.0
Casio,200.0,1,0,0,0,345.0
Emporio Armani,30.0,1,1,1,0,348.0
Frederique Constant,50.0,1,1,0,0,1985.0
Citizen,100.0,1,1,1,0,1490.0
